"Taxon_Id","Kingdom","Class","Family","Scientific_name","Common_name","Taxon_author","NCA_status","EPBC_status","Significant","Endemicity"
28612,"fungi","club fungi","Basidiomycota","Phellinus senex",,"(Nees & Mont.) Imazeki","C",,,"U"
28670,"fungi","club fungi","Basidiomycota","Phellinus setulosus",,"(Lloyd) Imazeki","C",,,"QA"
27875,"fungi","club fungi","Basidiomycota","Phellinus sp. (Lamington NP A.M.Young+ LNP423)",,,"C",,,"Q"
33209,"fungi","club fungi","Basidiomycota","Phellinus sublamaensis",,"(Lloyd) Ryvarden","C",,,"U"
28700,"fungi","club fungi","Basidiomycota","Phellinus tawhai",,"(G.Cunn.) G.Cunn.","C",,,"Q"
28732,"fungi","club fungi","Basidiomycota","Phellinus umbrinellus",,"(Bres.) S.Herrera & Bondartseva","C",,,"Q"
33831,"fungi","club fungi","Basidiomycota","Phellodon niger",,"(Fr.) P.Karst.","C",,,"U"
35859,"fungi","club fungi","Basidiomycota","Phellodon plicatus",,"(Lloyd) Maas Geest.","C",,,"U"
33643,"fungi","club fungi","Basidiomycota","Phellorinia herculeana subsp. strobilina",,"(Kalchbr.) Dring","C",,,"Q"
34110,"fungi","uncertain","Ascomycota","Phillipsia subpurpurea",,"Berk. & Broome","C",,,"Q"
28683,"fungi","club fungi","Basidiomycota","Phlebia radiata",,"Fr.","C",,,"U"
33648,"fungi","club fungi","Basidiomycota","Phlebiopsis gigantea",,"(Fr.) Juelich","C",,,"U"
28766,"fungi","club fungi","Basidiomycota","Phlebopus marginatus",,"(J.Drumm. ex Berk.) Watling & N.M.Greg.","C",,,"QA"
33914,"fungi","club fungi","Basidiomycota","Phlebopus xanthopus",,"T.H.Li & Watling","C",,,"U"
26302,"fungi","club fungi","Basidiomycota","Pholiota adiposa",,"(Fr.) P.Kumm.","C",,,"U"
34638,"fungi","club fungi","Basidiomycota","Pholiota aurivella",,"(Batsch) P.Kumm.","C",,,"U"
32990,"fungi","club fungi","Basidiomycota","Pholiota communis",,"(Cleland & Cheel) Grgur.","C",,,"Q"
28763,"fungi","club fungi","Basidiomycota","Pholiota sp. 1",,,"C",,,"QA"
28764,"fungi","club fungi","Basidiomycota","Pholiota sp. 4",,,"C",,,"Q"
34299,"fungi","sac fungi","Lichinaceae","Phylliscum testudineum",,"Henssen","C",,,"Q"
25411,"fungi","sac fungi","Phyllobatheliaceae","Phyllobathelium nigrum",,"R.Sant. & Tibell","C",,,"Q"
34382,"fungi","sac fungi","Lichen","Phylloblastia borhidii",,"(Farkas & Vezda) Luecking","C",,,"Q"
25359,"fungi","sac fungi","Lichen","Phylloblastia dolichospora",,"Vain.","C",,,"Q"
34402,"fungi","sac fungi","Lichen","Phylloblastia septemseptata",,"(Vezda) Luecking","C",,,"Q"
33304,"fungi","sac fungi","Lichen","Phylloblastia triseptata",,"(Kalb & Vezda) Luecking","C",,,"Q"
34348,"fungi","sac fungi","Gomphillaceae","Phyllogyalidea epiphylla",,"(Vezda) Leuking & Aptroot","C",,,"Q"
28681,"fungi","club fungi","Basidiomycota","Phylloporia chrysites",,"(Berk.) Ryvarden","C",,,"U"
33683,"fungi","club fungi","Basidiomycota","Phylloporia fruticum",,"(Berk. & M.A.Curtis) Ryvarden","C",,,"Q"
33235,"fungi","club fungi","Basidiomycota","Phylloporia pectinata",,"(Klotzsch) Ryvarden","C",,,"U"
33716,"fungi","club fungi","Basidiomycota","Phylloporia spathulata",,"(Hook.) Ryvarden","C",,,"Q"
30905,"fungi","club fungi","Basidiomycota","Phylloporus australiensis",,"Watling","C",,,"U"
30922,"fungi","club fungi","Basidiomycota","Phylloporus bellus",,"(Massee) Corner","C",,,"Q"
30923,"fungi","club fungi","Basidiomycota","Phylloporus bogoriensis",,"Hoehn.","C",,,"Q"
30925,"fungi","club fungi","Basidiomycota","Phylloporus cingulatus",,"Corner","C",,,"Q"
33959,"fungi","club fungi","Basidiomycota","Phylloporus clelandii",,"Watling","C",,,"Q"
30932,"fungi","club fungi","Basidiomycota","Phylloporus foliiporus",,"(Murrill) Singer","C",,,"U"
30933,"fungi","club fungi","Basidiomycota","Phylloporus hyperion",,"(Cooke & Massee) Singer","C",,,"Q"
30934,"fungi","club fungi","Basidiomycota","Phylloporus leucomycelinus",,"Singer","C",,,"Q"
30912,"fungi","club fungi","Basidiomycota","Phylloporus orientalis",,"Corner","C",,,"Q"
25921,"fungi","club fungi","Basidiomycota","Phylloporus rhodoxanthus",,"(Schwein.) Bres.","C",,,"U"
33822,"fungi","club fungi","Basidiomycota","Phylloporus sulcatus",,"(Pat.) E.J.Gilbert","C",,,"U"
31810,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora africana",,"Timdal & Krog","C",,,"Q"
30826,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora albicans",,"Muell.Arg.","C",,,"U"
23974,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora breviuscula var. breviuscula",,"(Nyl.) Muell.Arg.","C",,,"Q"
30896,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora buettneri",,"(Muell.Arg.) Zahlbr.","C",,,"Q"
30989,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora chodatinica",,"Elix","C",,,"Q"
32846,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora confusa",,"Swinscow & Krog","C",,,"U"
30990,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora conwayensis",,"Elix","C",,,"Q"
32845,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora corallina",,"(Eschw.) Muell.Arg.","C",,,"U"
23436,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora foliata var. foliata",,"(Stirt.) Zahlbr.","C",,,"Q"
30897,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora foliatella",,"Elix","C",,,"Q"
30868,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora furfuracea",,"(Pers.) Zahlbr.","C",,,"U"
30991,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora homosekikaica",,"Elix","C",,,"Q"
32573,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora kiiensis",,"(Vain.) Gotth.Schneid.","C",,,"U"
34918,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora lividocarpa",,"Timdal","C",,,"U"
31975,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora neofoliata",,"Elix","C",,,"Q"
32844,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora ochroxantha",,"(Nyl.) Zahlbr.","C",,,"Q"
24312,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora parvifolia var. fibrillifera",,"Muell.Arg.","C",,,"U"
23840,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora parvifolia var. granulosa",,"(Muell.Arg.) Muell.Arg.","C",,,"Q"
23438,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora parvifolia var. parvifolia",,"(Pers.) Muell.Arg.","C",,,"Q"
23978,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora parvifolia var. subgranulosa",,"(Tuck.) Muell.Arg.","C",,,"Q"
30831,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora rappiana",,"(Brako) Elix","C",,,"Q"
25412,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora subhyalina",,"(Stirt.) Zahlbr.","C",,,"Q"
30830,"fungi","sac fungi","Phyllopsoraceae","Phyllopsora swinscowii",,"Timdal & Krog","C",,,"Q"
35714,"fungi","sac fungi","Physciaceae","Physcia ascendens",,,"C",,,"U"
27429,"fungi","sac fungi","Physciaceae","Physcia atrostriata",,"Moberg","C",,,"QI"
34253,"fungi","sac fungi","Physciaceae","Physcia austrocaesia",,"Elix","C",,,"Q"
34280,"fungi","sac fungi","Physciaceae","Physcia biziana",,"(A.Massal.) Zahlbr.","C",,,"Q"
34408,"fungi","sac fungi","Physciaceae","Physcia clementei",,"(Sm.) Lynge","C",,,"U"
24313,"fungi","sac fungi","Physciaceae","Physcia clementii",,"(Sm.) Lynge","C",,,"U"
27105,"fungi","sac fungi","Physciaceae","Physcia crispa",,"Nyl.","C",,,"U"
34398,"fungi","sac fungi","Physciaceae","Physcia dactylifera",,"Elix","C",,,"U"
27430,"fungi","sac fungi","Physciaceae","Physcia decorticata",,"Moberg","C",,,"Q"
23748,"fungi","sac fungi","Physciaceae","Physcia integrata",,"Nyl.","C",,,"U"
27426,"fungi","sac fungi","Physciaceae","Physcia jackii",,"Moberg","C",,,"U"
34260,"fungi","sac fungi","Physciaceae","Physcia krogiae",,"Moberg","C",,,"Q"
34517,"fungi","sac fungi","Physciaceae","Physcia littoralis",,"Elix","C",,,"Q"
23444,"fungi","sac fungi","Physciaceae","Physcia minor",,"(Fee) Vain.","C",,,"U"
34254,"fungi","sac fungi","Physciaceae","Physcia neonubila",,"Elix","C",,,"U"
27427,"fungi","sac fungi","Physciaceae","Physcia nubila",,"Moberg","C",,,"U"
27107,"fungi","sac fungi","Physciaceae","Physcia phaeocarpa",,"(Nyl.) Hue","C",,,"U"
27428,"fungi","sac fungi","Physciaceae","Physcia poncinsii",,"Hue","C",,,"U"
34255,"fungi","sac fungi","Physciaceae","Physcia rolandii",,"Elix","C",,,"U"
34261,"fungi","sac fungi","Physciaceae","Physcia rolfii",,"Moberg","C",,,"Q"
27461,"fungi","sac fungi","Physciaceae","Physcia sorediosa",,"(Vain.) Lynge","C",,,"U"
23445,"fungi","sac fungi","Physciaceae","Physcia stellaris",,"(L.) Nyl.","C",,,"QAI"
24016,"fungi","sac fungi","Physciaceae","Physcia sublurida",,"Stirt.","C",,,"Q"
24317,"fungi","sac fungi","Physciaceae","Physcia tribacoides",,"Nyl.","C",,,"QAI"
27108,"fungi","sac fungi","Physciaceae","Physcia undulata",,"Moberg","C",,,"U"
25413,"fungi","sac fungi","Phyllopsoraceae","Physcidia australasica",,"Kalb & Elix","C",,,"U"
25324,"fungi","sac fungi","Collemataceae","Physma ahtianum",,"Verdon & Elix","C",,,"U"
23452,"fungi","sac fungi","Collemataceae","Physma byrsaeum",,"(Ach.) Tuck.","C",,,"U"
24488,"fungi","sac fungi","Collemataceae","Physma pseudoisidiatum",,"Aptroot & Sipman","C",,,"U"
29131,"fungi","club fungi","Basidiomycota","Physocystidium cinnamomeum",,"(Dennis) Singer","C",,,"Q"
25293,"fungi","sac fungi","Acarosporaceae","Piccolia conspersa",,"(Fee) Hafellner","C",,,"Q"
25294,"fungi","sac fungi","Acarosporaceae","Piccolia haematina",,"(Muell.Arg.) Hafellner","C",,,"U"
33251,"fungi","club fungi","Basidiomycota","Piloporia albomarginata",,"(H.Zipp. ex Lev.) Nunez","C",,,"U"
28936,"fungi","club fungi","Basidiomycota","Piptoporus australiensis",,"(Wakef.) G.Cunn.","C",,,"U"
25638,"fungi","club fungi","Basidiomycota","Pisolithus albus",,"(Cooke & Massee) Priest","C",,,"Q"
34871,"fungi","club fungi","Basidiomycota","Pisolithus croceorrhizus",,"P.Leonard & McMullan-Fisher","C",,,"U"
34600,"fungi","club fungi","Basidiomycota","Pisolithus marmoratus",,"(Berk.) E.Fisch.","C",,,"U"
25872,"fungi","club fungi","Basidiomycota","Pisolithus microcarpus",,"(Cooke & Massee) G.Cunn.","C",,,"Q"
34872,"fungi","club fungi","Basidiomycota","Pisolithus sp. (Bribie Island J.Herbert BRIP8252)",,,"C",,,"U"
29410,"fungi","sac fungi","Verrucariaceae","Placidium lacinulatum",,"(Ach.) Breuss","C",,,"Q"
26847,"fungi","sac fungi","Verrucariaceae","Placidium pilosellum",,"(Breuss) Breuss","C",,,"Q"
27371,"fungi","sac fungi","Verrucariaceae","Placidium squamulosum",,"(Ach.) Breuss","C",,,"QAI"
24319,"fungi","sac fungi","Agyriaceae","Placopsis brachyloba",,"(Muell.Arg.) I.M.Lamb","C",,,"Q"
24320,"fungi","sac fungi","Agyriaceae","Placopsis rhodophthalma",,"(Muell.Arg.) Raesaenen","C",,,"Q"
23587,"fungi","sac fungi","Agyriaceae","Placynthiella icmalea",,"(Ach.) Coppins & P.James","C",,,"QA"
30052,"fungi","sac fungi","Placynthiaceae","Placynthium nigrum",,"(Huds.) Gray","C",,,"QI"
30237,"fungi","sac fungi","Graphidaceae","Platygramme arechavaletae",,"(Muell.Arg.) A.W.Archer","C",,,"Q"
29464,"fungi","sac fungi","Graphidaceae","Platygramme australiensis",,"Staiger & Matthes-Leicht","C",,,"U"
29454,"fungi","sac fungi","Graphidaceae","Platygramme caesiopruinosa",,"(Fee) Fee","C",,,"Q"
32851,"fungi","sac fungi","Graphidaceae","Platygramme commutabilis",,"(Kremp.) A.W.Archer","C",,,"Q"
30245,"fungi","sac fungi","Graphidaceae","Platygramme fuscescens",,"(A.W.Archer) A.W.Archer","C",,,"Q"
29466,"fungi","sac fungi","Graphidaceae","Platygramme muelleri",,"(A.W.Archer) Staiger","C",,,"Q"
31825,"fungi","sac fungi","Graphidaceae","Platygramme platyloma",,"(Muell.Arg.) M.Nakan. & Kashiw.","C",,,"U"
30258,"fungi","sac fungi","Graphidaceae","Platygramme pudica",,"(Mont. & Bosch) M.Nakan. & Kashiw.","C",,,"U"
33012,"fungi","sac fungi","Graphidaceae","Platythecium nothofagi",,"(A.W.Archer) A.W.Archer","C",,,"U"
30264,"fungi","sac fungi","Graphidaceae","Platythecium pertenellum",,"(Stirt.) A.W.Archer","C",,,"Q"
32832,"fungi","sac fungi","Graphidaceae","Platythecium streimannii",,"A.W.Archer","C",,,"Q"
26303,"fungi","uncertain","Ascomycota","Plectania campylospora",,"(Berk.) Nannf.","C",,,"QA"
34552,"fungi","club fungi","Basidiomycota","Pleurotus djamor var. djamor",,"(Fr.) Boedijn","C",,,"Q"
35052,"fungi","club fungi","Basidiomycota","Pleurotus djamor var. roseus",,"Corner","C",,,"U"
33487,"fungi","club fungi","Basidiomycota","Pleurotus eugrammus",,"(Mont.) Dennis","C",,,"Q"
28935,"fungi","club fungi","Basidiomycota","Pleurotus ostreatus",,"(Jacq.) P.Kumm.","C",,,"U"
28591,"fungi","club fungi","Basidiomycota","Pleurotus semiliber",,"(Berk. & Broome) Sacc.","C",,,"Q"
28313,"fungi","club fungi","Basidiomycota","Pleurotus sp. 2",,,"C",,,"Q"
28312,"fungi","club fungi","Basidiomycota","Pleurotus sp. 3",,,"C",,,"Q"
28314,"fungi","club fungi","Basidiomycota","Pleurotus sp. 6",,,"C",,,"Q"
29067,"fungi","club fungi","Basidiomycota","Pleurotus sp. 8",,,"C",,,"Q"
33488,"fungi","club fungi","Basidiomycota","Pleurotus tuber-regium",,"(Fr.) Singer","C",,,"U"
33489,"fungi","club fungi","Basidiomycota","Pleurotus viscidulus",,"(Berk. & Broome) Cleland","C",,,"Q"
25508,"fungi","club fungi","Basidiomycota","Pluteus cervinus var. cervinus",,"(Schaeff.) P.Kumm.","C",,,"U"
35485,"fungi","club fungi","Basidiomycota","Pluteus fenzlii",,"(Schulzer) Corriol & P.-A.Moreau","C",,,"U"
26822,"fungi","club fungi","Basidiomycota","Pluteus lutescens",,"(Fr.) Bres.","C",,,"QA"
32372,"fungi","club fungi","Basidiomycota","Pluteus nanus",,"(Pers.) P.Kumm.","C",,,"U"
35462,"fungi","club fungi","Basidiomycota","Pluteus pauperculus",,"E.Horak","C",,,"U"
32371,"fungi","club fungi","Basidiomycota","Pluteus petasatus",,"(Fr.) Gillet","C",,,"Q"
32369,"fungi","club fungi","Basidiomycota","Pluteus sp. (Bunya Mountains A.M.Young+ 965)",,,"C",,,"Q"
34540,"fungi","club fungi","Basidiomycota","Podabrella alba",,"(Peck) Singer","C",,,"Q"
26124,"fungi","club fungi","Basidiomycota","Podaxis beringamensis",,"Priest & Michael Lenz","C",,,"Q"
26125,"fungi","club fungi","Basidiomycota","Podaxis pistillaris",,"(L.) Fr.","C",,,"U"
28777,"fungi","club fungi","Basidiomycota","Podoscypha involuta",,"(Klotzsch) Imazeki","C",,,"Q"
33717,"fungi","club fungi","Basidiomycota","Podoscypha nitidula",,"(Berk.) Pat.","C",,,"Q"
34630,"fungi","club fungi","Basidiomycota","Podoscypha parvula",,"(Lloyd) D.A.Reid","C",,,"Q"
33837,"fungi","club fungi","Basidiomycota","Podoscypha petalodes",,"(Berk.) Pat.","C",,,"Q"
28964,"fungi","club fungi","Basidiomycota","Podoserpula pusio",,"(Berk.) D.A.Reid","C",,,"U"
28990,"fungi","uncertain","Ascomycota","Podosordaria hircina",,"(F.L.Tai & C.T.Wei) J.C.Krug & Cain","C",,,"Q"
23455,"fungi","sac fungi","Porpidiaceae","Poeltiaria turgescens",,"(Koerb.) Hertel","C",,,"U"
24323,"fungi","sac fungi","Arthopyreniaceae","Polyblastiopsis coarctata",,"(Stirt.) Zahlbr.","C",,,"Q"
24324,"fungi","sac fungi","Arthopyreniaceae","Polyblastiopsis gregantula",,"(Muell.Arg.) Zahlbr.","C",,,"Q"
24325,"fungi","sac fungi","Arthopyreniaceae","Polyblastiopsis nudata",,"(Muell.Arg.) Zahlbr.","C",,,"Q"
24326,"fungi","sac fungi","Arthopyreniaceae","Polyblastiopsis pertusarioidea",,"(Kremp.) Zahlbr.","C",,,"Q"
24327,"fungi","sac fungi","Arthopyreniaceae","Polyblastiopsis tichospora",,"(C.Knight) Zahlbr.","C",,,"Q"
23457,"fungi","sac fungi","Arthopyreniaceae","Polyblastiopsis velata",,"(Muell.Arg.) Zahlbr.","C",,,"Q"
27576,"fungi","sac fungi","Placynthiaceae","Polychidium dendriscum",,"(Nyl.) Henssen","C",,,"Q"
25460,"fungi","sac fungi","Trypetheliaceae","Polymeridium albidum",,"(Muell.Arg.) R.C.Harris","C",,,"U"
25461,"fungi","sac fungi","Trypetheliaceae","Polymeridium albocinereum",,"(Kremp.) R.C.Harris","C",,,"Q"
25462,"fungi","sac fungi","Trypetheliaceae","Polymeridium catapastum",,"(Nyl.) R.C.Harris","C",,,"Q"
32914,"fungi","sac fungi","Trypetheliaceae","Polymeridium pleurothecium",,"R.C.Harris","C",,,"Q"
25463,"fungi","sac fungi","Trypetheliaceae","Polymeridium proponens",,"(Nyl.) R.C.Harris","C",,,"U"
23491,"fungi","sac fungi","Trypetheliaceae","Polymeridium quinqueseptatum",,"(Nyl.) R.C.Harris","C",,,"U"
32915,"fungi","sac fungi","Trypetheliaceae","Polymeridium subcinereum",,"(Nyl.) R.C.Harris","C",,,"U"
26637,"fungi","sac fungi","Trypetheliaceae","Polymeridium sulphurescens",,"(Muell.Arg.) R.C.Harris","C",,,"U"
33816,"fungi","club fungi","Basidiomycota","Polyporus alveolaris",,"(DC.) Bondartsev & Singer","C",,,"U"
26305,"fungi","club fungi","Basidiomycota","Polyporus arcularius",,"(Batsch) Fr.","C",,,"U"
29070,"fungi","club fungi","Basidiomycota","Polyporus badius",,"(Pers.) Schwein.","C",,,"U"
28817,"fungi","club fungi","Basidiomycota","Polyporus brumalis",,"(Pers.) Fr.","C",,,"U"
27932,"fungi","club fungi","Basidiomycota","Polyporus dictyopus",,"Mont.","C",,,"U"
29066,"fungi","club fungi","Basidiomycota","Polyporus grammocephalus var. minor",,"Cooke ex F.M.Bailey","C",,,"Q"
34025,"fungi","club fungi","Basidiomycota","Polyporus leprieurii",,"Mont.","C",,,"Q"
25503,"fungi","club fungi","Basidiomycota","Polyporus melanopus",,"(Sw.) Fr.","C",,,"U"
33694,"fungi","club fungi","Basidiomycota","Polyporus pocas",,"Berk.","C",,,"Q"
28723,"fungi","club fungi","Basidiomycota","Polyporus semposus",,,"C",,,"U"
27154,"fungi","club fungi","Basidiomycota","Polyporus varius",,"(Pers.) Fr.","C",,,"U"
32576,"fungi","sac fungi","Trichotheliaceae","Porina aenea",,"(Wallr.) Zahlbr.","C",,,"Q"
27314,"fungi","sac fungi","Trichotheliaceae","Porina africana",,"Muell.Arg.","C",,,"U"
30003,"fungi","sac fungi","Trichotheliaceae","Porina alba",,"(R.Sant.) Luecking","C",,,"Q"
24328,"fungi","sac fungi","Trichotheliaceae","Porina albicera",,"(Kremp.) Overeem","C",,,"Q"
24085,"fungi","sac fungi","Trichotheliaceae","Porina athertonii",,"Sipman","C",,,"Q"
26638,"fungi","sac fungi","Trichotheliaceae","Porina atriceps",,"(Vain.) Vain.","C",,,"Q"
26831,"fungi","sac fungi","Trichotheliaceae","Porina atrocoerulea",,"Muell.Arg.","C",,,"U"
30004,"fungi","sac fungi","Trichotheliaceae","Porina australiensis",,"(Luecking & Vezda) Luecking","C",,,"Q"
23459,"fungi","sac fungi","Trichotheliaceae","Porina bacillifera",,"Muell.Arg.","C",,,"U"
23993,"fungi","sac fungi","Trichotheliaceae","Porina bellendenica",,"Muell.Arg.","C",,,"U"
26844,"fungi","sac fungi","Trichotheliaceae","Porina canthicarpa",,"P.M.McCarthy","C",,,"Q"
25471,"fungi","sac fungi","Trichotheliaceae","Porina chlorotica forma chlorotica",,"(Ach.) Muell.Arg.","C",,,"Q"
25249,"fungi","sac fungi","Trichotheliaceae","Porina chloroticula",,"P.M.McCarthy","C",,,"Q"
24329,"fungi","sac fungi","Trichotheliaceae","Porina conica",,"R.Sant.","C",,,"Q"
25447,"fungi","sac fungi","Trichotheliaceae","Porina corruscans",,"(Rehm) R.Sant.","C",,,"Q"
25448,"fungi","sac fungi","Trichotheliaceae","Porina crassa",,"P.M.McCarthy","C",,,"Q"
33277,"fungi","sac fungi","Trichotheliaceae","Porina danbullensis",,"P.M.McCarthy & Luecking","C",,,"Q"
26641,"fungi","sac fungi","Trichotheliaceae","Porina distans",,"Vezda & Vivant","C",,,"Q"
29463,"fungi","sac fungi","Trichotheliaceae","Porina dwesica",,"Brusse & C.H.Dickinson","C",,,"Q"
33278,"fungi","sac fungi","Trichotheliaceae","Porina elixiana",,"P.M.McCarthy & Luecking","C",,,"U"
26833,"fungi","sac fungi","Trichotheliaceae","Porina eminentior forma eminentior",,"(Nyl.) P.M.McCarthy","C",,,"Q"
26834,"fungi","sac fungi","Trichotheliaceae","Porina eminentior forma sorediifera",,"(Muell.Arg.) P.M.McCarthy","C",,,"U"
26639,"fungi","sac fungi","Trichotheliaceae","Porina epiphylla",,"(Fee) Fee","C",,,"U"
26836,"fungi","sac fungi","Trichotheliaceae","Porina exocha",,"(Nyl.) P.M.McCarthy","C",,,"QI"
32580,"fungi","sac fungi","Trichotheliaceae","Porina exserta",,"Muell.Arg.","C",,,"U"
25446,"fungi","sac fungi","Trichotheliaceae","Porina farinosa",,"C.Knight","C",,,"U"
25449,"fungi","sac fungi","Trichotheliaceae","Porina fulvella",,"Muell.Arg.","C",,,"U"
24332,"fungi","sac fungi","Trichotheliaceae","Porina fulvula",,"Muell.Arg.","C",,,"U"
32575,"fungi","sac fungi","Trichotheliaceae","Porina guentheri",,"(Flot.) Zahlbr.","C",,,"Q"
25450,"fungi","sac fungi","Trichotheliaceae","Porina heterocarpa",,"P.M.McCarthy","C",,,"Q"
25451,"fungi","sac fungi","Trichotheliaceae","Porina impolita",,"P.M.McCarthy","C",,,"U"
23461,"fungi","sac fungi","Trichotheliaceae","Porina impressa",,"R.Sant.","C",,,"Q"
23462,"fungi","sac fungi","Trichotheliaceae","Porina internigrans",,"(Nyl.) Muell.Arg.","C",,,"Q"
30883,"fungi","sac fungi","Trichotheliaceae","Porina kamerunensis",,"F.Schill.","C",,,"Q"
30898,"fungi","sac fungi","Trichotheliaceae","Porina karnatakensis",,"Makhija, Adawadkar & Patw.","C",,,"Q"
31976,"fungi","sac fungi","Trichotheliaceae","Porina kennedyensis",,"P.M.McCarthy","C",,,"Q"
32577,"fungi","sac fungi","Trichotheliaceae","Porina leptalea",,"(Durieu & Mont.) A.L.Sm.","C",,,"Q"
24333,"fungi","sac fungi","Trichotheliaceae","Porina limbulata",,"(Kremp.) Vain.","C",,,"Q"
23463,"fungi","sac fungi","Trichotheliaceae","Porina limitata",,"C.Knight","C",,,"Q"
26837,"fungi","sac fungi","Trichotheliaceae","Porina longispora",,"Vezda","C",,,"Q"
27116,"fungi","sac fungi","Trichotheliaceae","Porina lucida",,"R.Sant.","C",,,"Q"
25452,"fungi","sac fungi","Trichotheliaceae","Porina malmei",,"P.M.McCarthy","C",,,"Q"
23464,"fungi","sac fungi","Trichotheliaceae","Porina mastoidea",,"(Ach.) Muell.Arg.","C",,,"U"
32574,"fungi","sac fungi","Trichotheliaceae","Porina mastoidella",,"(Nyl.) Muell.Arg.","C",,,"Q"
26644,"fungi","sac fungi","Trichotheliaceae","Porina minutissima",,"Henssen, Luecking & Vezda","C",,,"Q"
26646,"fungi","sac fungi","Trichotheliaceae","Porina nigrofusca",,"Muell.Arg.","C",,,"U"
24336,"fungi","sac fungi","Trichotheliaceae","Porina nitidula",,"Muell.Arg.","C",,,"U"
23465,"fungi","sac fungi","Trichotheliaceae","Porina nucula",,"Ach.","C",,,"Q"
36054,"fungi","sac fungi","Trichotheliaceae","Porina nuculastrum",,"(Muell.Arg.) R.C.Harris","C",,,"U"
26838,"fungi","sac fungi","Trichotheliaceae","Porina octomera",,"(Muell.Arg.) F.Schill.","C",,,"Q"
32578,"fungi","sac fungi","Trichotheliaceae","Porina papuensis",,"P.M.McCarthy","C",,,"Q"
26839,"fungi","sac fungi","Trichotheliaceae","Porina rubentior",,"(Stirt.) Muell.Arg.","C",,,"Q"
32579,"fungi","sac fungi","Trichotheliaceae","Porina rubescens",,"(Luecking) Hafellner & Kalb","C",,,"Q"
24342,"fungi","sac fungi","Trichotheliaceae","Porina rufula",,"(Kremp.) Vain.","C",,,"Q"
24343,"fungi","sac fungi","Trichotheliaceae","Porina semecarpi",,"Vain.","C",,,"Q"
25453,"fungi","sac fungi","Trichotheliaceae","Porina similis",,"Kalb & Vezda","C",,,"U"
26840,"fungi","sac fungi","Trichotheliaceae","Porina sphaerocephala",,"Vain.","C",,,"Q"
24344,"fungi","sac fungi","Trichotheliaceae","Porina subargillacea",,"Muell.Arg.","C",,,"U"
26647,"fungi","sac fungi","Trichotheliaceae","Porina subnucula",,"Luecking & Vezda","C",,,"Q"
26841,"fungi","sac fungi","Trichotheliaceae","Porina terrae-reginae",,"P.M.McCarthy, Luecking & Vezda","C",,,"Q"
23467,"fungi","sac fungi","Trichotheliaceae","Porina tetracerae var. persimilis",,"(Muell.Arg.) P.M.McCarthy","C",,,"Q"
23466,"fungi","sac fungi","Trichotheliaceae","Porina tetracerae var. tetracerae",,"(Ach.) Muell.Arg.","C",,,"Q"
26842,"fungi","sac fungi","Trichotheliaceae","Porina tolgensis",,"P.M.McCarthy","C",,,"Q"
27589,"fungi","sac fungi","Trichotheliaceae","Porina trichothelioides",,"R.Sant.","C",,,"Q"
29462,"fungi","sac fungi","Trichotheliaceae","Porina triseptata",,"(Vezda) Luecking","C",,,"Q"
25250,"fungi","sac fungi","Trichotheliaceae","Porina ulceratula",,"Zahlbr.","C",,,"Q"
24346,"fungi","sac fungi","Trichotheliaceae","Porina virescens",,"(Kremp.) Muell.Arg.","C",,,"U"
34315,"fungi","sac fungi","Lichinaceae","Porocyphus lichinelloides",,"Henssen","C",,,"Q"
34037,"fungi","club fungi","Basidiomycota","Porodisculus pendulus",,"(Schwein.) Schwein.","C",,,"Q"
26306,"fungi","uncertain","Ascomycota","Poronia oedipus",,"(Mont.) Mont.","C",,,"Q"
28956,"fungi","uncertain","Ascomycota","Poronia pileiformis",,"(Berk.) Fr.","C",,,"Q"
33531,"fungi","club fungi","Basidiomycota","Porostereum crassum",,"(Lev.) Hjortstam & Ryvarden","C",,,"QI"
33724,"fungi","club fungi","Basidiomycota","Porostereum friesii",,"(Lev.) Hjortstam & Ryvarden","C",,,"Q"
32621,"fungi","club fungi","Basidiomycota","Porostereum spadiceum",,"(Pers.) Hjortstam & Ryvarden","C",,,"U"
33963,"fungi","club fungi","Basidiomycota","Porphyrellus brunneus",,"McNabb","C",,,"U"
